                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3544,                 4.8299,                 2.0348,                0.66029,                0.04319,                0.04537,                0.01754,                 2.6462,                 4.0512,                   1.87,             0.00012721,             0.00012721,             0.00012721
                      2,                 2.8321,                 3.7196,                 1.5768,                0.49864,                0.16262,                0.09521,                 0.0373,                 2.3923,                 2.9826,                 1.5166,             0.00025301,             0.00025301,             0.00025301
                      3,                 2.6968,                 3.3469,                 1.5073,                0.49053,                0.30494,                0.19941,                 0.0791,                  1.994,                  2.314,                 1.2829,             0.00037627,             0.00037627,             0.00037627
                      4,                  2.587,                 3.1048,                 1.4591,                0.38805,                0.29757,                0.19833,                0.08016,                 1.9706,                  2.275,                 1.2945,             0.00037357,             0.00037357,             0.00037357
                      5,                 2.5158,                 2.9493,                 1.4218,                0.40474,                0.21363,                0.15572,                0.06539,                 2.0205,                 2.6084,                 1.2944,             0.00036975,             0.00036975,             0.00036975
                      6,                 2.4056,                 2.7694,                  1.391,                0.42623,                 0.4132,                0.28444,                0.12669,                 1.7829,                  1.933,                 1.2192,             0.00036594,             0.00036594,             0.00036594
                      7,                  2.407,                 2.7613,                 1.3851,                0.41591,                0.38387,                0.27022,                0.11469,                 1.7938,                  2.005,                 1.2307,             0.00036213,             0.00036213,             0.00036213
                      8,                 2.3512,                 2.6834,                 1.3775,                0.40829,                0.34496,                0.24593,                0.10569,                 1.9294,                 2.2962,                  1.278,             0.00035832,             0.00035832,             0.00035832
                      9,                 2.3616,                 2.6897,                 1.3748,                0.38377,                0.36802,                0.25519,                 0.1081,                 1.8782,                 2.0608,                 1.2578,             0.00035451,             0.00035451,             0.00035451
                     10,                 2.3549,                  2.675,                 1.3648,                0.40154,                0.45852,                0.34047,                0.14934,                 1.6647,                 1.8036,                 1.1828,              0.0003507,              0.0003507,              0.0003507
                     11,                 2.3308,                 2.6449,                 1.3797,                0.37957,                0.42167,                0.26507,                0.11439,                 1.7896,                 1.9656,                 1.2276,             0.00034689,             0.00034689,             0.00034689
                     12,                 2.2879,                 2.5663,                 1.3458,                0.39093,                0.41841,                 0.3019,                0.13538,                 1.7511,                 1.9689,                 1.2057,             0.00034307,             0.00034307,             0.00034307
                     13,                 2.2993,                 2.5908,                 1.3619,                0.41894,                0.36477,                0.26797,                0.11724,                 1.8814,                 2.0455,                 1.2631,             0.00033926,             0.00033926,             0.00033926
                     14,                 2.3277,                 2.6066,                 1.3674,                0.41755,                0.47457,                0.31896,                0.13478,                 1.6727,                  1.817,                 1.1808,             0.00033545,             0.00033545,             0.00033545
                     15,                 2.2715,                 2.5333,                 1.3516,                0.41255,                0.52413,                0.37658,                0.16581,                 1.6201,                 1.7196,                 1.1463,             0.00033164,             0.00033164,             0.00033164
                     16,                 2.2177,                 2.4839,                 1.3302,                0.46652,                0.49439,                0.39985,                0.18222,                 1.6442,                  1.674,                 1.1701,             0.00032783,             0.00032783,             0.00032783
                     17,                 2.2833,                 2.5293,                 1.3468,                0.40193,                0.44701,                0.32683,                0.13993,                  1.828,                 1.8386,                 1.2461,             0.00032402,             0.00032402,             0.00032402
                     18,                 2.2732,                 2.5316,                 1.3478,                0.45291,                0.49016,                0.36798,                0.16643,                 1.6459,                 1.7395,                 1.1529,              0.0003202,              0.0003202,              0.0003202
                     19,                 2.2472,                 2.4966,                 1.3493,                0.43895,                0.50981,                0.37292,                0.16751,                 1.5873,                 1.7313,                  1.128,             0.00031639,             0.00031639,             0.00031639
                     20,                 2.1928,                 2.4172,                 1.3153,                0.44743,                0.51346,                0.40305,                0.18015,                 1.6964,                 1.7152,                 1.1913,             0.00031258,             0.00031258,             0.00031258
                     21,                 2.2308,                 2.4438,                 1.3199,                 0.4299,                0.50655,                0.34764,                0.14517,                 1.7413,                 1.7982,                 1.1737,             0.00030877,             0.00030877,             0.00030877
                     22,                 2.2135,                 2.4477,                 1.3208,                0.34316,                0.40099,                0.25616,                0.09913,                  1.976,                 2.1126,                 1.2803,             0.00030496,             0.00030496,             0.00030496
                     23,                 2.2092,                 2.4264,                 1.3235,                0.44639,                0.49348,                0.37612,                0.16207,                 1.6498,                 1.7507,                  1.156,             0.00030115,             0.00030115,             0.00030115
